"rd_question_id","subject_tag","paper","question_type","question_text","option_a","option_b","option_c","option_d","option_e","option_f","option_g","option_h","correct_answer","explanation","difficulty","teaser_text","display_order"
"RD_001","Cardiovascular","CPS","SBA","A 64-year-old man with type 2 diabetes and hypertension presents with a 2-month history of exertional chest tightness relieved by rest. His resting ECG is normal. According to NICE guidelines, what is the most appropriate first-line investigation?","Exercise treadmill test","CT coronary angiography","Invasive coronary angiography","Myocardial perfusion scintigraphy","Stress echocardiography","","","","B","NICE NG194 recommends CT coronary angiography (CTCA) as the first-line investigation for patients with new-onset stable chest pain where coronary artery disease is suspected. Exercise treadmill testing is no longer recommended as a first-line diagnostic test due to its poor sensitivity and specificity. Invasive coronary angiography is reserved for patients with confirmed significant disease or acute coronary syndromes.","Medium","You struggled with stable angina investigation pathways.","1"
"RD_002","Cardiovascular","CPS","SBA","A 70-year-old man with chronic heart failure with reduced ejection fraction (HFrEF, LVEF 30%) is already on ramipril, bisoprolol, and spironolactone at target doses. He remains in NYHA class III with recurrent hospital admissions. According to NICE guidelines, what is the most appropriate next step?","Add ivabradine","Switch ramipril to sacubitril/valsartan","Add digoxin","Refer for cardiac transplantation","Add furosemide","","","","B","NICE NG106 recommends switching the ACE inhibitor to sacubitril/valsartan (ARNI) in patients with HFrEF who remain symptomatic despite optimal triple therapy. The PARADIGM-HF trial demonstrated significant reductions in cardiovascular death and heart failure hospitalisation. The ACE inhibitor must be stopped for at least 36 hours before starting sacubitril/valsartan to avoid angioedema.","Hard","You struggled with advanced heart failure management and ARNI prescribing.","2"
"RD_003","Respiratory","CPS","SBA","A 28-year-old woman with asthma uses her salbutamol inhaler three times per week and wakes at night with wheeze once a week. She is currently on a short-acting beta-2 agonist (SABA) alone. According to NICE guidelines, what is the most appropriate next step in her management?","Add a low-dose inhaled corticosteroid","Add a leukotriene receptor antagonist","Add a long-acting beta-2 agonist","Increase SABA use to four times daily","Add oral prednisolone","","","","A","According to NICE NG80, patients using a SABA three or more times per week or experiencing nocturnal symptoms should step up to a regular low-dose inhaled corticosteroid (ICS). A LABA is added at a later step when low-dose ICS alone is insufficient. Oral prednisolone is reserved for acute exacerbations, not routine step-up therapy.","Easy","You struggled with the asthma stepwise management ladder.","3"
"RD_004","Respiratory","CPS","SBA","A 67-year-old man with COPD (FEV1 45% predicted) has had two exacerbations in the past year requiring oral steroids. He is currently on a LAMA inhaler alone. His blood eosinophil count is 350 cells/uL. According to NICE guidelines, what is the most appropriate step-up in therapy?","Add a LABA","Add a LABA plus an inhaled corticosteroid","Switch to a SABA alone","Add oral theophylline","Start long-term oral prednisolone","","","","B","NICE NG115 recommends escalating therapy based on exacerbation frequency and blood eosinophil count. In a patient with 2 or more exacerbations per year and eosinophils of 300 or above, adding a LABA + ICS to the existing LAMA (triple therapy) is recommended. The raised eosinophil count predicts a favourable response to ICS.","Medium","You struggled with COPD escalation pathways and eosinophil-guided prescribing.","4"
"RD_005","Gastroenterology","CPS","SBA","A 52-year-old man presents with a 6-week history of progressive dysphagia to solids and unintentional weight loss of 5 kg. He has no history of reflux. What is the most appropriate initial investigation?","Barium swallow","CT thorax and abdomen","Oesophagogastroduodenoscopy (OGD)","Trial of proton pump inhibitor","Helicobacter pylori breath test","","","","C","NICE NG12 recommends urgent direct-access upper GI endoscopy (OGD) within 2 weeks for patients presenting with dysphagia at any age, as this is a red flag symptom for oesophageal or gastric malignancy. OGD allows direct visualisation and biopsy. A PPI trial is inappropriate when alarm features are present.","Easy","You struggled with upper GI cancer red flags and investigation pathways.","5"
"RD_006","Endocrinology","CPS","SBA","A 58-year-old man with type 2 diabetes has an HbA1c of 62 mmol/mol despite maximum tolerated metformin. His BMI is 34 kg/m2 and he has established cardiovascular disease. According to NICE guidelines, what is the most appropriate second-line agent to add?","Gliclazide","Pioglitazone","Sitagliptin","An SGLT2 inhibitor","Insulin glargine","","","","D","NICE NG28 recommends that in patients with established cardiovascular disease, an SGLT2 inhibitor (e.g. empagliflozin, dapagliflozin) is preferred as second-line due to proven cardiovascular and renal benefits. Gliclazide carries hypoglycaemia risk and has no cardiovascular benefit. Pioglitazone is contraindicated in heart failure.","Medium","You struggled with diabetes second-line prescribing and cardiovascular risk stratification.","6"
"RD_007","Endocrinology","CPS","SBA","A 35-year-old woman is found to have a TSH of 0.1 mU/L and free T4 of 32 pmol/L during investigation for weight loss, tremor, and palpitations. Examination reveals a diffuse smooth goitre and bilateral exophthalmos. What is the most appropriate first-line treatment?","Carbimazole","Propylthiouracil","Radioactive iodine therapy","Subtotal thyroidectomy","Propranolol alone","","","","A","NICE CKS and BTF guidelines recommend carbimazole as the first-line antithyroid drug. Propylthiouracil is reserved for first trimester of pregnancy, thyroid storm, or carbimazole intolerance. Radioactive iodine is relatively contraindicated in active moderate-to-severe thyroid eye disease as it can worsen ophthalmopathy.","Medium","You struggled with thyrotoxicosis management and Graves disease treatment.","7"
"RD_008","Renal","CPS","SBA","A 72-year-old woman is admitted with pneumonia. Her admission creatinine is 180 umol/L (baseline 90 umol/L). She is taking ramipril, amlodipine, and ibuprofen regularly. Her blood pressure is 95/60 mmHg. What is the most important immediate pharmacological step?","Start intravenous antibiotics","Stop ramipril and ibuprofen","Start intravenous N-acetylcysteine","Request urgent renal ultrasound","Insert a urinary catheter","","","","B","This patient has AKI with creatinine more than double her baseline. The most important immediate step is stopping nephrotoxic medications. Ramipril reduces glomerular filtration pressure and ibuprofen impairs renal autoregulation. NICE AKI guidelines emphasise stopping the triple whammy (ACE inhibitor/ARB + NSAID + diuretic) in AKI.","Medium","You struggled with AKI management and nephrotoxic drug recognition.","8"
"RD_009","Renal","CPS","SBA","A 62-year-old woman with type 2 diabetes has stage 3b CKD (eGFR 38 mL/min) and a urine albumin:creatinine ratio (ACR) of 35 mg/mmol. She is already on maximum tolerated ramipril. According to NICE guidelines, what additional medication should be considered to slow CKD progression?","Amlodipine","Dapagliflozin","Furosemide","Spironolactone","Atorvastatin","","","","B","NICE NG203 recommends offering an SGLT2 inhibitor to patients with CKD and type 2 diabetes who have an ACR of 30 or above, provided eGFR is 20 or above and the patient is already on optimised ACE inhibitor/ARB therapy. The DAPA-CKD and CREDENCE trials demonstrated significant reductions in CKD progression.","Hard","You struggled with CKD progression management and renoprotective prescribing.","9"
"RD_010","Neurology","CPS","SBA","A 60-year-old man presents to the emergency department with sudden onset right-sided weakness and expressive dysphasia. His symptoms began 2 hours ago. A CT head shows no haemorrhage. His blood pressure is 185/100 mmHg. What is the most appropriate immediate treatment?","Intravenous alteplase","Aspirin 300 mg","Intravenous labetalol to lower blood pressure","Mechanical thrombectomy","Clopidogrel 300 mg loading dose","","","","A","NICE NG128 recommends intravenous alteplase as the first-line reperfusion treatment for acute ischaemic stroke if it can be administered within 4.5 hours of symptom onset and haemorrhage has been excluded on CT. Aspirin 300 mg should be given after thrombolysis (usually 24 hours later). BP should not be actively lowered unless it exceeds 185/110 mmHg prior to thrombolysis.","Medium","You struggled with acute stroke management and thrombolysis decision-making.","10"
"RD_011","Psychiatry","CPS","SBA","A 35-year-old woman presents with a 3-month history of persistent low mood, anhedonia, poor concentration, and early morning wakening. She has no suicidal ideation and has not tried any treatment. According to NICE guidelines, what is the most appropriate first-line pharmacological treatment?","Amitriptyline","Citalopram","Diazepam","Mirtazapine","Venlafaxine","","","","B","NICE CG90/NG222 recommends an SSRI as first-line pharmacological treatment for moderate to severe depression. Amitriptyline (tricyclic) is not first-line due to its side-effect profile and toxicity in overdose. Diazepam carries dependence risk. Mirtazapine and venlafaxine are typically second-line options.","Easy","You struggled with first-line antidepressant prescribing.","11"
"RD_012","Musculoskeletal","CPS","SBA","A 45-year-old woman presents with a 4-month history of symmetrical pain and swelling in her MCP and PIP joints, with 90 minutes of morning stiffness. Rheumatoid factor and anti-CCP antibodies are positive. According to NICE guidelines, what is the most appropriate initial disease-modifying treatment?","Hydroxychloroquine","Methotrexate","Prednisolone alone","Adalimumab","Naproxen","","","","B","NICE NG100 recommends methotrexate as the first-line DMARD for newly diagnosed rheumatoid arthritis, ideally started within 3 months of symptom onset. Short-term glucocorticoids may bridge while methotrexate takes effect, but prednisolone alone does not prevent joint destruction. Biologics like adalimumab are reserved for patients who have failed at least two conventional DMARDs.","Medium","You struggled with rheumatoid arthritis first-line DMARD prescribing.","12"
"RD_013","Infectious Disease","CPS","SBA","A 78-year-old care home resident presents with dysuria, frequency, and confusion. She has a temperature of 38.5 degrees and is haemodynamically stable. Urine dipstick shows nitrites and leucocytes. She has no drug allergies. According to NICE guidelines, what is the most appropriate empirical antibiotic?","Amoxicillin","Trimethoprim","Nitrofurantoin","Ciprofloxacin","Co-amoxiclav","","","","C","NICE NG109 recommends nitrofurantoin as first-line empirical treatment for uncomplicated lower UTI in women if eGFR is 45 or above. Trimethoprim is an alternative but increasing resistance rates make nitrofurantoin preferred. Amoxicillin is not recommended due to high resistance. Ciprofloxacin should be reserved for complicated or upper UTIs.","Easy","You struggled with UTI antibiotic prescribing and antimicrobial stewardship.","13"
"RD_014","Dermatology","CPS","SBA","A 22-year-old man presents with well-demarcated erythematous plaques with silver-white scale on his elbows, knees, and scalp. The plaques cover approximately 4% of his body surface area. He has not tried any treatment. What is the most appropriate first-line management?","Oral methotrexate","Potent topical corticosteroid plus a vitamin D analogue","Phototherapy (narrow-band UVB)","Topical tacrolimus","Oral acitretin","","","","B","NICE CG153 recommends a potent topical corticosteroid plus a topical vitamin D analogue as first-line treatment for plaque psoriasis affecting less than 10% BSA. Systemic treatments are reserved for moderate-to-severe disease unresponsive to topicals. Topical tacrolimus is not licensed for psoriasis.","Easy","You struggled with psoriasis first-line management.","14"
"RD_015","Paediatrics","CPS","SBA","A 3-year-old boy is brought to the GP with a 2-day history of barking cough, inspiratory stridor at rest, and mild chest wall recession. He is alert, well-hydrated, and has a temperature of 38.1 degrees. His oxygen saturations are 96% on air. What is the most appropriate immediate management?","Oral dexamethasone","Nebulised adrenaline","Intravenous antibiotics","Oral amoxicillin","Inhaled salbutamol","","","","A","NICE and BNFc guidelines recommend oral dexamethasone (0.15 mg/kg single dose) as the first-line treatment for all severities of croup. It reduces airway oedema and decreases the need for hospitalisation. Nebulised adrenaline is reserved for severe croup with significant respiratory distress. Antibiotics are not indicated as croup is viral.","Easy","You struggled with croup severity assessment and management.","15"
"RD_016","Professional Dilemmas","PD","SBA","You are an FY2 doctor. A 78-year-old woman with capacity refuses a blood transfusion for symptomatic anaemia (Hb 62 g/L) on religious grounds. Her family insists you proceed with the transfusion. What is the most appropriate course of action?","Respect the patient's refusal and document the discussion","Transfuse as the family requests since they have her best interests at heart","Obtain a court order to authorise the transfusion","Contact the hospital chaplain to persuade the patient to accept treatment","Delay the decision and ask the consultant to override her refusal","","","","A","A competent adult has the absolute right to refuse any medical treatment, even if the refusal may result in their death. This principle is enshrined in the Mental Capacity Act 2005 and GMC guidance on consent. The patient's capacity has been established, and her decision must be respected regardless of family views. Family members cannot consent on behalf of a competent adult.","Easy","You struggled with patient autonomy and consent principles.","16"
"RD_017","Professional Dilemmas","PD","SBA","You are an FY2 doctor. A patient with metastatic pancreatic cancer asks you directly: 'Am I going to die from this?' His wife has previously asked the team not to tell him his prognosis. What is the most appropriate response?","Tell the patient his prognosis is poor as he has a right to know","Defer to his wife's wishes and reassure the patient that everything will be fine","Ask the patient what he already understands and what he would like to know","Tell the patient you cannot discuss this and he should ask the consultant","Change the subject to avoid upsetting the patient","","","","C","GMC guidance on end-of-life care emphasises that patients have a right to information about their condition, but information should be shared sensitively and at the patient's pace. The most appropriate approach is to explore what the patient already knows and explicitly ask what they would like to know. This respects autonomy while allowing them to set the boundaries.","Medium","You struggled with breaking bad news and balancing family wishes with patient autonomy.","17"
"RD_018","Pharmacology","CPS","SBA","A 68-year-old man with atrial fibrillation is started on amiodarone. He is also taking warfarin for stroke prevention. His INR was stable at 2.5. What monitoring concern is most important to address regarding this drug interaction?","Amiodarone reduces warfarin efficacy requiring dose increase","Amiodarone inhibits warfarin metabolism leading to raised INR and bleeding risk","Amiodarone causes warfarin to bind more tightly to albumin","Warfarin inhibits amiodarone absorption","No interaction exists between these drugs","","","","B","Amiodarone is a potent inhibitor of CYP2C9, the primary enzyme responsible for warfarin metabolism. This leads to significantly increased warfarin levels and raised INR, putting the patient at substantial risk of haemorrhage. When amiodarone is started, the warfarin dose should be reduced by one-third to one-half, with frequent INR monitoring.","Medium","You struggled with high-risk drug interactions and INR management.","18"
"RD_019","Reproductive","CPS","SBA","A 30-year-old woman requests long-acting reversible contraception. She has a BMI of 32, no relevant medical history, and does not wish to become pregnant for at least 3 years. She is concerned about weight gain. According to NICE guidelines, which method should be offered as first-line?","Combined oral contraceptive pill","Copper intrauterine device (Cu-IUD)","Levonorgestrel intrauterine system (LNG-IUS)","Medroxyprogesterone acetate injection (Depo-Provera)","Etonogestrel subdermal implant","","","","C","NICE CG30 recommends the LNG-IUS as the most effective form of long-acting reversible contraception and should be considered first-line. It has a failure rate of less than 1%, provides contraception for 5 years, and is not associated with weight gain. Depo-Provera is associated with weight gain and reduced bone density.","Medium","You struggled with LARC prescribing and contraceptive counselling.","19"
"RD_020","Haematology","CPS","SBA","A 45-year-old woman presents with fatigue and pallor. Her blood results show: Hb 85 g/L, MCV 68 fL, ferritin 8 ug/L, serum iron low, TIBC raised. She has regular heavy menstrual periods. What is the most appropriate initial management?","Oral ferrous sulphate","Intravenous iron infusion","Blood transfusion","Intramuscular vitamin B12","Oral folic acid","","","","A","This patient has iron deficiency anaemia (microcytic, low ferritin, low serum iron, raised TIBC) secondary to menorrhagia. BSH guidelines recommend oral iron supplementation (ferrous sulphate 200 mg two to three times daily) as first-line. IV iron is reserved for patients who cannot tolerate oral iron, have malabsorption, or need rapid correction.","Easy","You struggled with iron deficiency anaemia investigation and management.","20"
